t_sec,x_m,y_m,theta_rad
1.0942e-05,0.004194863148099514,-0.0002604554762161718,-0.010068026865910936
0.00863513,0.004196842499523316,-0.0002606082488999664,-0.01007252276105745
0.018645668,0.004198746315882856,-0.00026069601982958625,-0.010077275631733806
0.029171498,0.00420072566097388,-0.00026084878929022416,-0.01008177143256728
0.038688445,0.004202629470946161,-0.0002609365571005566,-0.010086524212640838
0.048631341,0.004204608809704653,-0.0002610893233382217,-0.010091019919163582
0.058740824,0.004206512613289858,-0.0002611770880294016,-0.010095772608636514
0.068633798,0.004208491945715969,-0.00026132985104421967,-0.01010026822085043
0.078709907,0.004210395742914329,-0.000261417612616395,-0.01010502081972511
0.088593736,0.004212375069008196,-0.00026157037240850077,-0.010109516337632397
0.098424552,0.004214278859819867,-0.00026165813086182204,-0.010114268845910723
0.108350554,0.004216258179581767,-0.00026181088743137303,-0.010118764269513601
0.118585534,0.004218161964007025,-0.0002618986427659928,-0.010123516687197825
0.128509782,0.004220141277437149,-0.00026205139611310305,-0.010128012016498314
0.138560205,0.00422204505547616,-0.00026213914832914095,-0.0101327643435906
0.14857899,0.004224024362574629,-0.00026229189845395576,-0.010137259578590876
0.15864676,0.004225928134227557,-0.00026237964755154887,-0.010142011815093305
0.168632642,0.004227907434994568,-0.00026253239445417684,-0.010146506955795317
0.178523991,0.004229811200261602,-0.0002626201404335111,-0.010151259101709983
0.1884062,0.004231790494697351,-0.000262772884114153,-0.010155754148116041
0.198355277,0.004233694253578724,-0.0002628606269753578,-0.010160506203445049
0.208331217,0.004235673541683431,-0.0002630133674341244,-0.010165001155557043
0.218377316,0.004237577294179315,-0.00026310110717732167,-0.010169753120302582
0.228581497,0.004239556575953128,-0.00026325384441433747,-0.010174247978122756
0.23846027,0.004241460322063825,-0.00026334158103970815,-0.010178999852286945
0.248618817,0.004243439597507,-0.0002634943150551334,-0.010183494615817442
0.258545884,0.004245343337232577,-0.0002635820485627771,-0.010188246399402343
0.268579961,0.0042473226063451785,-0.00026373477935675167,-0.010192741068645055
0.278475383,0.004249226339685802,-0.0002638225097468191,-0.010197492761652655
0.288565857,0.004251205602468076,-0.00026397523731944345,-0.010201987336609904
0.298574582,0.004253109329424019,-0.00026406296459209605,-0.010206738939042668
0.30849975,0.004255088585876141,-0.000264215688943563,-0.010211233419716572
0.318596137,0.00425699230644763,-0.0002643034130989761,-0.01021598493157649
0.328693183,0.004258971556569872,-0.00026445613422939094,-0.01022047931796895
0.33857695,0.004260875270757082,-0.0002645438552676429,-0.010225230739258129
0.348674146,0.004262854514549504,-0.00026469657317712764,-0.010229725031371553
0.358668176,0.004264758222352602,-0.0002647842910983958,-0.010234476362092173
0.368554248,0.004266737459815508,-0.0002649370057871386,-0.010238970559928371
0.378454825,0.004268641161234729,-0.0002650247205915635,-0.010243721800082246
0.38838831,0.0042706203923682335,-0.00026517743205964426,-0.010248215903643358
0.39837674,0.0042725240874037325,-0.00026526514374733716,-0.010252967053232831
0.408476551,0.004274503312208105,-0.00026541785199494605,-0.010257461062521072
0.418581688,0.004276407000860194,-0.000265505560566085,-0.010262212121548247
0.428650668,0.004278386219335516,-0.0002656582655933359,-0.01026670603656581
0.438676101,0.00428028990160421,-0.0002657459710480659,-0.010271457005032967
0.4485528,0.004282269113750651,-0.0002658986728551108,-0.010275950825781876
0.458584217,0.004284172789636265,-0.00026598637519358585,-0.010280701703691062
0.468553,0.004286151995454146,-0.00026613907378055977,-0.010285195430173394
0.478382534,0.00428805566495686,-0.0002662267730029254,-0.01028994621752669
0.488374359,0.004290034864446283,-0.0002663794683699493,-0.010294439849744437
0.498350691,0.00429193852756627,-0.0002664671644763266,-0.010299190546543786
0.508466572,0.004293917720727384,-0.00026661985662353627,-0.010303684084499156
0.518684848,0.004295821377464861,-0.00026670754961407217,-0.010308434690746982
0.528614465,0.004297800564297936,-0.0002668602385416466,-0.010312928134442142
0.538621651,0.004299704214653052,-0.000266947928416518,-0.010317678650140428
0.548416267,0.004301683395158241,-0.0002671006141245781,-0.010322171999577372
0.558334285,0.004303587039131286,-0.0002671883008838865,-0.010326922424728265
0.568394089,0.0043055662133087685,-0.0002673409833725339,-0.010331415679909212
0.57847337,0.0043074698508998996,-0.00026742866701642246,-0.010336166014515088
0.588618804,0.004309449018749911,-0.0002675813462858684,-0.010340659175442246
0.598557739,0.004311352649959339,-0.0002676690268144876,-0.010345409419504879
0.608441493,0.004313331811482032,-0.0002678217028648366,-0.010349902486180096
0.618451832,0.004315235436309847,-0.0002679093802783866,-0.010354652639701695
0.628362851,0.004317214591505341,-0.0002680620531097487,-0.010359145612127288
0.638306294,0.0043191182099518765,-0.0002681497274083258,-0.01036389567511011
0.648571299,0.004321097358820473,-0.00026830239702084035,-0.010368388553287967
0.658479785,0.004323000970885843,-0.0002683900682045727,-0.010373138525733983
0.668621213,0.004324980113427655,-0.000268542734598455,-0.010377631309666385
0.678566909,0.004326883719112131,-0.0002686304026674968,-0.010382381191577677
0.68842542,0.0043288628553274245,-0.00026878306584279593,-0.010386873881266778
0.69848815,0.004330766454631236,-0.0002688707307973159,-0.010391623672645739
0.708361044,0.004332745584520161,-0.000269023390754204,-0.01039611626809353
0.718406388,0.0043346491774434075,-0.0002691110525943059,-0.010400865968942121
0.728397243,0.004336628301006113,-0.00026926370933290654,-0.010405358470150622
0.738496892,0.0043385318875489255,-0.00026935136805877294,-0.010410108080470899
0.748541632,0.004340511004785566,-0.00026950402157923335,-0.010414600487442405
0.758619901,0.00434241458494827,-0.0002695916771909734,-0.010419350007236565
